model,score,hyperparameters,split,id_accuracy,id_macro_f1,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
IsolationForest,negative_decision_function,"n_estimators=100, max_samples=auto, contamination=auto",Overall,,,0.7258304037538852,0.8973947903345489,0.805241935483871,-0.042775435112037685,0.8760459435580271,0.7884741322855272,0.9855004677268475,0.9855004677268475,0.9116935483870968,0.7838107324147934,0.5369034596698754,0.0738069193397507,219,2261,124,8428
IsolationForest,negative_decision_function,"n_estimators=100, max_samples=auto, contamination=auto",Near-OOD,,,0.5680678675378317,0.6193076317901265,0.9044354838709677,-0.04345027700039383,0.6833156216790648,0.5295449866172535,0.9629352302508424,0.9629352302508424,0.9213709677419355,0.5371772471364784,0.5207821312544535,0.04156426250890688,195,2285,99,2572
IsolationForest,negative_decision_function,"n_estimators=100, max_samples=auto, contamination=auto",Far-OOD,,,0.7974821184678929,0.8909972608307781,0.6475806451612903,-0.031310875635623625,0.8561249241964827,0.7723977568048147,0.9602108484951539,0.9602108484951539,0.6709677419354839,0.7729936610453295,0.6446215532798351,0.28924310655967,816,1664,234,5647
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Overall,,,0.7990223943088205,0.9271155436154022,0.692741935483871,-0.03485098176292656,0.8846462377667255,0.8151177687986597,0.9671421889616464,0.9671421889616464,0.7564516129032258,0.8044778825235678,0.6053452880292103,0.21069057605842056,604,1876,281,8271
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Near-OOD,,,0.6213297544715644,0.6284567570977677,0.8451612903225807,-0.03732183784598703,0.6966726494546459,0.5518372703412073,0.9445900411830775,0.9445900411830775,0.8262096774193548,0.5734808774995147,0.5591901818818613,0.11838036376372274,431,2049,148,2523
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=auto",Far-OOD,,,0.8797258530752395,0.9361597180200292,0.43306451612903224,-0.02673934483617657,0.8913112667091024,0.8375953342305967,0.9523890494813807,0.9523890494813807,0.43790322580645163,0.8366224135868915,0.7572429118374646,0.514485823674929,1394,1086,280,5601
IsolationForest,negative_decision_function,"n_estimators=500, max_samples=auto, contamination=auto",Overall,,,0.8353898069495157,0.9408629404021582,0.6983870967741935,-0.03527109593721933,0.8849651651332234,0.811628133840601,0.9728718428437793,0.9728718428437793,0.7786290322580646,0.8039340101522843,0.5971214052928574,0.1942428105857147,549,1931,232,8320
IsolationForest,negative_decision_function,"n_estimators=500, max_samples=auto, contamination=auto",Near-OOD,,,0.6157339585270709,0.6021587949710169,0.8508064516129032,-0.03718494781332976,0.6938663745892661,0.5469458234405353,0.948708348932984,0.948708348932984,0.8463709677419354,0.5659095321296835,0.5511686905955242,0.10233738119104852,381,2099,137,2534
IsolationForest,negative_decision_function,"n_estimators=500, max_samples=auto, contamination=auto",Far-OOD,,,0.9351518833202604,0.9605816382523764,0.24435483870967742,-0.024672592857644393,0.9270132852222405,0.8952954221447806,0.9610610440401293,0.9610610440401293,0.26653225806451614,0.893553402703026,0.8472643929878065,0.6945287859756131,1819,661,229,5652
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=0.5, contamination=auto",Overall,,,0.9165910068197591,0.9748078459375986,0.4737903225806452,-0.06345596727129532,0.9109279747121246,0.8805106940200785,0.9435219831618334,0.9435219831618334,0.4415322580645161,0.8569615663524293,0.7509948625486587,0.5019897250973173,1385,1095,483,8069
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=0.5, contamination=auto",Near-OOD,,,0.7553406661755293,0.7426701204619164,0.6866935483870967,-0.06745259297714273,0.7433105164903547,0.635879691243013,0.8944215649569449,0.8944215649569449,0.5516129032258065,0.679673849737915,0.6714043308655693,0.34280866173113844,1112,1368,282,2389
